Temperature,pH,Dissolved Oxygen,Ammonia,Nitrate,Fish Behavior,Fish Growth Rate,Growth Stage,Leaf Area,Yield,Fish Species,Pairable Plant Species,Fish Success Rate,Plant Success Rate
24.39050803,7.248267981,7.176518884,0.189531354,1.846281619,Active_schooling,0.471630753,Flowering,298.5253873,247.3133093,Trout,Lettuce,0.752604209,0.775858724
25.72151493,6.680202707,6.123469758,0.125829628,1.056630016,Active_stressed,0.557460047,Vegetative,195.4332171,137.9516157,Tilapia,Basil,0.816597,0.827084735
24.82210701,6.889023145,8.769901706,0.044254166,2.384523843,Active_schooling,NaN,Fruit_Setting,211.1160761,214.9633517,Tilapia,Lettuce,0.999278761,0.712924445
24.35906546,6.537600182,7.218704924,0.208134126,0.411171783,Active_feeding,0.481778479,Fruit_Setting,271.3660886,234.135124,Perch,Tomatoes,0.840822529,0.944265814
23.38923839,6.511787739,8.832846549,0.129206195,1.188296827,Active_schooling,0.287434216,Seedling,238.202145,218.2807918,Trout,Basil,0.994407648,0.935110422
25.1671529,7.496267872,8.168173469,0.231729886,0.417488876,Active_feeding,0.373711941,Seedling,286.5192232,162.2688156,Perch,Tomatoes,0.814498891,0.774944017
23.50069769,6.988196658,8.754959857,0.242951638,1.888759799,Active_feeding,0.453252384,Flowering,283.0736782,288.4352381,Perch,Lettuce,0.770539404,0.734675174
27.13418401,6.872024764,8.469802616,0.168782462,1.155771697,Resting,0.531414978,Fruit_Setting,209.324709,241.007609,Trout,Tomatoes,0.768954404,0.922353049
27.70930208,6.696172095,7.940690106,0.078025027,4.496170258,Resting,0.330078758,Fruit_Setting,239.3540005,178.5865965,Tilapia,Lettuce,0.883749584,0.829767837
23.06753215,7.307192245,6.20381706,0.143920943,0.862193971,Active_stressed,0.252955184,Fruit_Setting,220.1748875,186.2462737,Trout,Basil,0.734884933,0.912085057
26.3338003,7.20575272,8.516447316,0.092821617,2.930303163,Active_schooling,0.459695117,Flowering,122.3520863,209.7024343,Perch,Lettuce,0.961530234,0.793303287
24.23115936,6.501556198,8.078467202,0.067251008,0.146598012,Resting_stressed,0.281521965,Vegetative,232.7461494,217.4582672,Tilapia,Lettuce,0.980971469,0.77847634
24.54435649,7.271226673,8.873974543,0.113544944,1.105819553,Resting_stressed,0.215177831,Seedling,204.0638893,273.8077428,Perch,Tomatoes,0.732362007,0.833986201
27.40477311,6.611482745,6.426667404,0.103444281,3.802149959,Resting,0.520232939,Seedling,222.2202071,84.83991852,Trout,Tomatoes,0.948366222,0.903815052
NaN,7.44863268,6.263320614,0.152647318,1.290644751,Active_stressed,0.364303901,Vegetative,277.251545,135.6824628,Tilapia,Lettuce,0.818460361,0.888858546
20.6970344,6.832736084,7.556639942,0.213404413,0.699067583,Active_feeding,0.249098036,Seedling,206.1583961,180.712092,Trout,Tomatoes,0.970759732,0.847478604
20.16174718,6.951102775,7.079797122,0.08740843,0.627714411,Active_feeding,0.313594738,Fruit_Setting,275.1934347,200.6296543,Perch,Tomatoes,0.728445438,0.889373283
26.66095876,6.504980906,4.880821047,0.112227998,2.355099611,Active_stressed,0.485533202,Flowering,181.2453658,123.180239,Perch,Lettuce,0.763385734,0.749437213
26.22525401,7.324392688,8.111316654,0.20828327,1.978194838,Resting_stressed,0.289274298,Flowering,145.7576193,283.2076026,Perch,Basil,0.927192942,0.727638886
26.96009719,6.808168254,7.33798221,0.047724293,3.266441127,Active_feeding,0.409795341,Seedling,241.5669238,82.69166682,Trout,Lettuce,0.806363926,0.734448689
27.82894674,7.056446876,6.576626243,0.031367657,2.800970807,Active_stressed,0.362233963,Flowering,193.0114138,211.6334233,Trout,Basil,0.90832138,0.87180878
26.39326851,7.426600797,7.32864423,0.13600119,0.390846179,Active_stressed,0.350955904,Flowering,103.8574481,108.6607141,Trout,Lettuce,0.940050711,0.727328578
23.6918349,6.656222383,7.39885925,0.207778556,0.135817281,Active_feeding,0.455970912,Flowering,182.1607517,90.09246976,Trout,Basil,0.879917491,0.916623635
26.24423341,7.367329613,6.027427667,0.093333367,2.529999924,Resting,0.571360244,Seedling,172.4805536,185.1799284,Perch,Basil,0.897654111,0.839015956
20.94619541,7.000238931,6.771646232,0.157977789,4.52978272,Resting_stressed,0.421582774,Seedling,222.7981216,193.4572509,Trout,Basil,0.851200002,0.944010447
25.11936817,7.424456174,6.73611509,0.00245591,1.514074091,Active_schooling,0.361742758,Vegetative,190.9533886,147.4968491,Perch,Tomatoes,0.819463409,0.970291456
21.1468263,7.32235505,7.143064308,0.227273754,NaN,Resting,0.285118189,Seedling,239.2824891,76.15195285,Tilapia,Tomatoes,0.893516857,0.7415833
27.55735134,6.942980031,7.272114977,0.15084673,4.359652866,Resting_stressed,0.365413058,Fruit_Setting,186.3200933,205.4390477,Trout,Basil,0.810696326,0.799078834
24.17478657,6.588711771,6.802591669,0.064653817,4.706479717,Active_feeding,0.460487908,Flowering,293.5445802,150.5911756,Perch,Tomatoes,0.962809902,0.774572639
23.31729552,6.530197455,6.33793874,0.019557185,0.236246688,Active_feeding,0.214462122,Seedling,130.8272562,172.7475424,Trout,Lettuce,0.993220913,0.790528325
22.1164449,7.37423081,6.416038721,0.056111381,1.099787842,Resting_stressed,0.461890666,Seedling,126.7864776,226.4625318,Perch,Lettuce,0.819310097,0.950998573
26.19386952,6.974284917,8.064606493,0.157198125,0.838937691,Resting_stressed,0.544167278,Fruit_Setting,151.4067702,265.4026104,Tilapia,Tomatoes,0.843688526,0.905504658
